제목,구분,카테고리,지역,연령,성별
심리검사 프로그램 ‘마음건강검진’,상담,외로움,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 청년1인가구를 위한 경제교육의 모든 것! '경제탄탄 프로젝트',프로그램,경제/일자리,동대문구,"20,30","남성,여성"
"<모집 종료> 살짝, 꺼내어보기: 있는 그대로의 나",프로그램,기타,용산구,"20,30","남성,여성"
[광진구] 1인가구 20대 미술집단상담 <드로우 마인드>,상담,외로움,광진구,"20,30","남성,여성"
"퇴근 후, 러닝크루",프로그램,기타,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구지원사업 지역 탐방 프로그램 <꽃보다 중장년>,프로그램,기타,금천구,"40,50,60,70,80,90,100","남성,여성"
[서대문구] 따로 또 같이 한(1)가위,프로그램,외로움,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 생활력 지수 향상 프로젝트 '동일이네 살림백서',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 상담 '구로온(溫)마음',상담,기타,구로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 제로웨이스트 환경 특강 및 에코 챌린지 '동일이의 초록생활',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[광진구] 1인 가구 홈?트 프로그램,프로그램,질병,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[토요시네마]1월 넷째 주 상영작 '헤어질 결심',프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[지역사회네트워크] 1인가구 자기돌봄 대사증후군 검진지원,프로그램,질병,강남구,"20,30,40,50","남성,여성"
[진행중] 강동싱글 서포터즈 2기 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
